ID,name,crayfish.id,carapace.length.mm,sex,repro.form,claw.side,claw.length.mm,claw.width.mm,claw.strength.v,centroid.size,resid.str.length,resid.str.centroid
18,FO102L,FO102,27.155,m,1,l,19.023,8.472,11.0649,1.119374464,4.260483008,3.776586178
9,FO171R,FO171,25.221,m,2,r,14.691,6.778,5.120031,1.12077627,0.247033862,-2.168646675
85,FO148R,FO148,22.38,m,1,r,16.18,7.945,8.912274,1.121452344,3.375407018,1.623420844
82,FO147L,FO147,24.401,m,1,l,19.054,9.045,8.338911,1.121774371,1.520672675,1.049974259
11,FO172R,FO172,26.978,m,2,r,14.729,6.158,4.516491,1.128700633,-0.373448418,-2.77424352
307,FO177R,FO177,28.792,m,2,r,18.736,9.255,5.53245,1.130939376,-1.144008197,-1.758865608
331,FO189R,FO189,28.044,m,2,r,19.117,8.753,6.830061,1.139121743,-0.016265841,-0.463378421
321,FO184R,FO184,29.274,m,2,r,18.684,8.808,5.482155,1.141754924,-1.171119025,-1.811967889
64,FO139L,FO139,17.09,m,2,l,11.035,4.625,3.309411,1.149252392,0.066439482,-3.98665793
103,FO156R,FO156,27.608,m,1,r,20.51,9.978,10.682658,1.157074405,3.215262864,3.38455879
200,FO59L,FO59,23.602,m,1,l,16.428,7.702,9.133572,1.16247871,3.486134353,1.834070049
257,FO93R,FO93,27.731,m,1,r,20.306,10.306,10.833543,1.181768884,3.457101153,3.529034096
92,FO151L,FO151,31.916,m,1,l,25.475,10.505,11.024664,1.186748314,1.343626303,3.718862636
188,FO52R,FO52,31.991,m,1,r,25.279,11.726,13.358352,1.186897893,3.764700797,6.052511812
324,FO186L,FO186,29.455,m,2,l,20.376,9.102,8.328852,1.193326135,0.921200691,1.021343298
27,FO109R,FO109,30.779,m,1,r,23.767,11.493,12.000387,1.19598748,3.080860178,4.69218752
334,FO191L,FO191,30.765,m,2,l,20.878,9.63,6.870297,1.199733229,-0.761170737,-0.438874725
303,FO175R,FO175,30.459,m,2,r,20.066,8.392,1.921269,1.204173586,-5.348168977,-5.389055264
87,FO149R,FO149,23.542,m,1,r,15.699,6.405,1.126608,1.204648627,-4.195805392,-6.183839565
308,FO178L,FO178,30.549,m,2,l,19.519,9.751,6.84012,1.207026488,-0.185438323,-0.470944762
309,FO178R,FO178,30.549,m,2,r,20.089,9.97,8.057259,1.209273491,0.777566486,0.745611006
101,FO155R,FO155,23.309,m,1,r,16.098,7.477,5.492214,1.213347694,-0.008093326,-1.820491493
123,FO16L,FO16,29.878,m,2,l,18.719,9.127,8.127672,1.218310409,1.458793244,0.813678386
302,FO175L,FO175,30.459,m,2,l,20.614,9.541,2.746107,1.219337445,-4.76765648,-4.568153191
97,FO153R,FO153,23.795,m,1,r,16.905,7.831,8.419383,1.22085829,2.559275161,1.104728058
91,FO150R,FO150,28.411,m,1,r,21.456,10.429,12.483219,1.226032645,4.594050276,5.167221004
322,FO185L,FO185,31.611,m,2,l,20.512,9.635,6.166167,1.229069654,-1.302119835,-1.150619281
342,FO195L,FO195,30.208,m,2,l,20.996,9.756,3.792243,1.229247679,-3.891834973,-3.52458949
325,FO186R,FO186,29.455,m,2,r,20.98,9.414,8.198085,1.2303067,0.521140618,0.880977631
323,FO185R,FO185,31.611,m,2,r,20.481,9.751,7.785666,1.2456532,0.331200498,0.464575297
1,FO166R,FO166,30.315,m,2,r,18.292,8.265,4.908792,1.247291779,-1.569709038,-2.412724012
10,FO172L,FO172,26.978,m,2,l,14.775,6.954,5.723571,1.249249226,0.813122507,-1.598453087
312,FO180L,FO180,30.187,m,2,l,21.072,9.828,7.493955,1.253975247,-0.224007532,0.170704228
335,FO191R,FO191,30.765,m,2,r,21.358,9.703,6.457878,1.256189091,-1.387597477,-0.865947397
4,FO169L,FO169,26.718,m,2,l,17.139,7.203,5.653158,1.260722802,-0.311278612,-1.671844166
105,FO157R,FO157,22.384,m,1,r,14.874,7.261,3.450237,1.261353041,-1.504350589,-3.87492875
313,FO180R,FO180,30.187,m,2,r,21.47,10.104,7.514073,1.270696639,-0.381337616,0.186482028
98,FO154L,FO154,23.91,m,1,l,18.256,7.918,8.882097,1.270808393,2.419646543,1.554477021
