ID,name,crayfish.id,carapace.length.mm,sex,repro.form,claw.side,claw.length.mm,claw.width.mm,claw.strength.v,centroid.size,resid.str,resid.str.centroid
163,FO38R,FO38,25.533,f,2,r,14.38,7.18,4.083954,0.880268733,-0.841671439,-1.178923063
165,FO40L,FO40,26.071,f,2,l,13.986,7.786,7.94661,0.8731674,3.314919266,2.772095636
166,FO40R,FO40,26.071,f,2,r,14.403,7.09,5.612922,0.878999635,0.670137936,0.365836469
167,FO41L,FO41,20.396,f,2,l,10.51,4.173,1.136667,0.451387042,-0.901833294,1.210413873
168,FO41R,FO41,20.396,f,2,r,10.438,4.918,1.71003,0.554984734,-0.274756337,0.494698942
169,FO42L,FO42,24.727,f,2,l,12.743,5.514,3.711771,0.710687576,0.007392037,0.55901167
170,FO42R,FO42,24.727,f,2,r,11.987,5.795,3.198762,0.714179405,0.058379577,0.002553442
173,FO44L,FO44,29.813,f,2,l,16.363,8.547,6.830061,0.985168672,0.425063684,0.261901998
174,FO44R,FO44,29.813,f,2,r,16.924,8.484,6.628881,1.069944443,-0.194637557,-0.994152617
177,FO46L,FO46,33.505,f,1,l,21.816,10.287,10.370829,1.243111753,-0.10225447,0.593054738
178,FO46R,FO46,33.505,f,1,r,19.625,11.041,8.741271,1.238948446,-0.097266942,-0.984698757
179,FO47L,FO47,29.322,f,1,l,17.243,8.14,10.018764,1.099435755,2.957262776,2.028766614
180,FO47R,FO47,29.322,f,1,r,16.058,8.226,8.801625,1.030481507,2.624165971,1.669633209
183,FO49L,FO49,21.984,f,1,l,21.984,11.006,12.795048,1.274456305,2.196631966,2.627249892
184,FO49R,FO49,21.984,f,1,r,21.272,10.826,11.245962,1.270316607,1.17871731,1.129674628
189,FO53L,FO53,27.319,f,1,l,17.441,9.054,6.13599,1.060109613,-1.073224604,-1.364667703
190,FO53R,FO53,27.319,f,1,r,13.864,6.778,1.518909,0.816425387,-3.021766419,-2.949558006
191,FO54L,FO54,31.587,f,1,l,22.093,10.294,6.930651,1.284767143,-3.749081996,-3.365446044
192,FO54R,FO54,31.587,f,1,r,19.313,7.95,3.510591,1.127641771,-5.095186465,-4.830377069
198,FO58L,FO58,25.893,f,1,l,15.133,7.616,6.13599,0.959795857,0.648606103,-0.116452163
202,FO60L,FO60,14.114,f,2,l,11.436,4.948,2.343747,0.595938772,-0.385574452,0.618820163
203,FO60R,FO60,14.114,f,2,r,10.752,4.848,2.544927,0.565389322,0.325888131,1.200130463
204,FO62L,FO62,26.578,f,1,l,15.131,7.655,5.592804,0.906199064,0.106912157,0.007272862
205,FO62R,FO62,26.578,f,1,r,14.708,7.265,6.950769,0.896083891,1.78044665,1.491102117
207,FO64L,FO64,26.788,f,1,l,17.326,8.376,8.841861,1.052165908,1.71843952,1.440047727
208,FO64R,FO64,26.788,f,1,r,18.314,8.83,11.175549,1.077225036,3.315052677,3.461922131
209,FO65L,FO65,30.262,f,1,l,20.803,10.245,12.27198,1.250331704,2.554622053,2.404367062
210,FO65R,FO65,30.262,f,1,r,20.488,10.546,12.442983,1.226822894,2.960623611,2.867892873
213,FO67L,FO67,23.52,f,2,l,13.758,5.918,1.116549,0.743170381,-3.34504754,-2.440397588
214,FO67R,FO67,23.52,f,2,r,11.704,5.105,0.684012,0.669969396,-2.245244734,-1.962086359
215,FO68L,FO68,33.34,f,1,l,18.993,8.603,8.65074,1.095684155,0.283691229,0.707424202
216,FO68R,FO68,33.34,f,1,r,21.871,10.491,10.954251,1.268130012,0.440136036,0.86517168
219,FO71L,FO71,19.13,f,2,l,13.034,6.648,7.353129,0.752456969,3.431656131,3.680628335
220,FO71R,FO71,19.13,f,2,r,12.537,6.302,3.802302,0.74317489,0.251604634,0.245299306
221,FO72L,FO72,29.121,f,1,l,17.243,9.034,11.16549,1.044065634,4.103988776,3.864469363
222,FO72R,FO72,29.121,f,1,r,17.125,9.036,11.507496,1.077601259,4.534025981,3.789187745
223,FO74L,FO74,30.369,f,1,l,19.486,9.599,11.376729,1.187794598,2.641888835,2.287272425
224,FO74R,FO74,30.369,f,1,r,18.339,8.373,4.385724,1.115499037,-3.493423002,-3.804150641
225,FO75L,FO75,28.512,f,1,l,19.686,9.53,8.65074,1.205264358,-0.233305599,-0.656094797
226,FO75R,FO75,28.512,f,1,r,19.555,10.222,6.146049,1.197534468,-2.64026704,-3.064601892
227,FO76L,FO76,27.645,f,1,l,16,7.705,4.576845,0.999247679,-1.557344453,-2.166500697
228,FO76R,FO76,27.645,f,1,r,16.415,8.426,6.286875,1.026888775,-0.156915728,-0.800412016
230,FO78L,FO78,18.949,f,2,l,11.799,5.293,1.961505,0.635157863,-1.038624315,-0.251429472
231,FO78R,FO78,18.949,f,2,r,11.299,5.767,2.474514,0.654287356,-0.15260173,0.023549058
232,FO79L,FO79,25.18,f,1,l,15.006,7.082,8.610504,0.897748359,3.217865553,3.130125951
233,FO79R,FO79,25.18,f,1,r,14.179,6.506,1.066254,0.84406826,-3.709419978,-3.746176437
234,FO80L,FO80,28.124,f,1,l,17.529,9.051,8.258439,1.076114043,0.983574005,0.558636344
235,FO80R,FO80,28.124,f,1,r,16.738,8.721,6.427701,1.045308711,-0.257056504,-0.888787386
236,FO81L,FO81,18.46,f,2,l,11.481,5.193,1.40826,0.622782462,-1.354632675,-0.650685942
237,FO81R,FO81,18.46,f,2,r,11.298,5.536,1.146726,0.641153065,-1.479643703,-1.140807457
238,FO82L,FO82,29.591,f,1,l,18.787,8.743,8.560209,1.127744297,0.346841826,0.217965188
239,FO82R,FO82,29.591,f,1,r,18.392,9.621,8.359029,1.157596904,0.440342558,-0.354674215
240,FO83L,FO83,28.472,f,1,l,16.168,8.255,9.525873,0.984642552,3.266350982,2.964260569
241,FO83R,FO83,28.472,f,1,r,15.73,8.147,10.914015,0.979137942,4.981252883,4.420897061
242,FO85L,FO85,29.219,f,1,l,17.69,9.351,11.276139,1.095357747,3.881163631,3.336884734
243,FO85R,FO85,29.219,f,1,r,14.252,7.111,5.150208,0.881878573,0.320074039,-0.132700486
246,FO87L,FO87,27.1,f,1,l,15.201,6.675,3.731889,0.880270914,-1.806224745,-1.531015201
247,FO87R,FO87,27.1,f,1,r,16.063,8.176,5.009382,0.988404567,-1.171807165,-1.599041614
248,FO88L,FO88,32.426,f,1,l,21.465,10.299,12.885579,1.235986987,2.674351067,3.196459016
249,FO88R,FO88,32.426,f,1,r,20.662,10.426,12.231744,1.232565363,2.619575884,2.585199675
254,FO92L,FO92,23.16,f,1,l,13.13,6.94,6.618822,0.769530181,2.625730523,2.733877406
255,FO92R,FO92,23.16,f,1,r,12.573,6.885,6.13599,0.748918513,2.558435656,2.507518748
259,FO95L,FO95,31.441,f,1,l,19.888,9.545,4.104072,1.169020789,-4.930671087,-4.751779923
260,FO95R,FO95,31.441,f,1,r,19.966,9.499,4.275075,1.167540643,-4.817858206,-4.562359297
266,FO99L,FO99,28.422,f,1,l,18.2,8.859,10.521714,1.149792618,2.746264774,1.905120408
267,FO99R,FO99,28.422,f,1,r,14.154,6.395,2.846697,0.843996545,-1.910326299,-1.964841079
